_id,id,category,Subcategory,name,genericName,brand,manufacturer,dosageForm,strength,saltComposition,description,uses[0],uses[1],dosage,sideEffects,warnings,price,stock,barcode,expiry,substitutes[0],substitutes[1],substitutes[2],image,bar_code,side_effects,suitable_for,uses,tags
6a646c4cedb0bc53fabc84e7,1,Medicines,Tablet,Dolo 650,Paracetamol,Dolo,Micro Labs Ltd,Tablet,650mg,Paracetamol (650mg),Dolo 650 Tablet helps relieve fever and mild-to-moderate pain.,Fever,Headache & Body Ache,1 tablet every 4-6 hours as directed by physician.,"Nausea, Allergic reactions (rare)",Do not exceed recommended dose; avoid alcohol.,30,150,8.90E+12,7/21/2026,Calpol 650,Crocin 650,Pacimol 650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZdngxX_PUy2QPleOuohg5t6IJHEUBE26dHWiFccGBcw&s=10,,,,,
6a646c4cedb0bc53fabc84e8,2,Medicines,Tablet,Calpol 650,Paracetamol,Calpol,GlaxoSmithKline,Tablet,650mg,Paracetamol (650mg),Calpol 650 Tablet provides effective relief from high fever and pain.,Fever reduction,Mild to moderate pain relief,Use as directed by physician.,"Rare allergic skin rash, Liver toxicity (overdose)",Do not take with other Paracetamol products.,32.5,120,8.90E+12,8/26/2028,Dolo 650,Crocin 650,Pacimol 650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs3c67ieeu8mdNSljd9OiHkeyDgqzgGQU6jP4s6eVe2A&s=10,,,,,
6a646c4cedb0bc53fabc84e9,3,Medicines,Tablet,Crocin 650,Paracetamol,Crocin,GSK Consumer Healthcare,Tablet,650mg,Paracetamol (650mg),Fast acting formula for symptomatic relief from pain and fever.,Fever management,Dental pain & headache,1 tablet up to 3-4 times daily.,"Nausea, Epigastric discomfort",Caution in patients with severe liver impairment.,28,180,8.90E+12,9/26/1930,Dolo 650,Calpol 650,Pacimol 650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4bLxJcu8Xni-_7BkGDN_A9ToPQjpA3jOMt-legvWVKw&s=10,,,,,
6a646c4cedb0bc53fabc84ea,4,Medicines,Tablet,Pacimol 650,Paracetamol,Pacimol,Ipca Laboratories Ltd,Tablet,650mg,Paracetamol (650mg),Analgesic and antipyretic medication used for fever and pain.,Pyrexia of unknown origin,Musculoskeletal pain,As prescribed by physician.,"Skin redness, Dizziness",Avoid consuming alcohol during therapy.,26.5,140,8.90E+12,11/8/2028,Dolo 650,Calpol 650,Crocin 650,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuSQzix5KRzzVrr4TKpezFz1JRbMMS8ACXQsaXlFgfFA&s,,,,,
6a646c4cedb0bc53fabc84eb,5,Medicines,Tablet,Combiflam,Ibuprofen + Paracetamol,Combiflam,Sanofi India Ltd,Tablet,400mg/325mg,Ibuprofen (400mg) + Paracetamol (325mg),Combination non-steroidal anti-inflammatory drug and antipyretic.,Joint pain & inflammation,Toothache and headache,1 tablet twice or thrice daily after meals.,"Heartburn, Stomach upset, Indigestion",Take with food. Not recommended for patients with peptic ulcers.,45,200,8.90E+12,7/30/2027,Ibugesic Plus,Flexon,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLRX5mQ-AQwnQ0MqsGDrfuJg3_cwWGXKDwN-uY-dHqoA&s=10,,,,,
6a646c4cedb0bc53fabc84ec,6,Medicines,Tablet,Ibugesic Plus,Ibuprofen + Paracetamol,Ibugesic,Cipla Ltd,Tablet,400mg/325mg,Ibuprofen (400mg) + Paracetamol (325mg),Effective dual-action pain relief for arthritis and post-operative pain.,Rheumatoid arthritis pain,Fever with severe body pain,1 tablet after meal as advised by physician.,"Nausea, Flatulence, Mild dizziness",Avoid prolonged unmonitored use.,42,110,8.90E+12,6/3/2027,Combiflam,Flexon,,https://image.cdn.shpy.in/82900/1658597772604_SKU-1923_2.jpg?width=600&format=webp,,,,,
6a646c4cedb0bc53fabc84ed,7,Medicines,Tablet,Flexon,Ibuprofen + Paracetamol,Flexon,Aristo Pharmaceuticals,Tablet,400mg/325mg,Ibuprofen (400mg) + Paracetamol (325mg),Used for acute inflammatory musculoskeletal disorders and fever.,Sprains and muscle cramps,Post-dental procedure pain,1 tablet 2 times daily after food.,"Gastric irritation, Drowsiness",Use cautiously in kidney disorders.,38,160,8.90E+12,3/11/2029,Combiflam,Ibugesic Plus,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQid9sDI0zfZJLi-eD2-5VR93Uo67mvgZNsvqa1nL2SkQ&s=10,,,,,
6a646c4cedb0bc53fabc84ee,8,Medicines,Tablet,Pantocid 40,Pantoprazole,Pantocid,Sun Pharmaceutical Industries,Tablet,40mg,Pantoprazole (40mg),Proton pump inhibitor that reduces stomach acid secretion.,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,1 tablet daily in the morning before breakfast.,"Headache, Diarrhea, Abdominal pain",Swallow whole; do not crush or chew.,115,0,8.90E+12,11/11/2028,Pan 40,Pantodac 40 IV,Pan IV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgJgYBEB07ZyKZbOFHWxM5m9tWE_1I_h1JTA5ab0WBCA&s=10,,,,,
6a646c4cedb0bc53fabc84ef,9,Medicines,Tablet,Pan 40,Pantoprazole,Pan,Alkem Laboratories,Tablet,40mg,Pantoprazole (40mg),Gastro-resistant tablet for acid indigestion and heartburn.,Heartburn & acid reflux,Hypersecretory conditions,1 tablet before morning meal.,"Flatulence, Dry mouth",Inform doctor if taking HIV antiretrovirals.,108,175,8.90E+12,1/19/2029,Pantocid 40,Pantodac 40 IV,Pan IV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREtnlphmU2rEGHbwvbyZyqTltJtO0t4dlFqw7CSg1Bmw&s=10,,,,,
6a646c4cedb0bc53fabc84f0,10,Medicines,Tubes,Volini Gel,Diclofenac + Linseed Oil + Methyl Salicylate + Menthol,Volini,Sun Pharmaceutical Industries,Gel,1.16% w/w,Diclofenac Diethylamine (1.16% w/w) + Menthol (5% w/w),Topical pain relief gel for quick absorption and relief from deep muscle pain.,Back pain & joint stiffness,Sports injuries & sprains,Apply thin layer to affected area 3-4 times daily.,"Mild skin redness, Burning sensation",For external use only. Do not apply on open wounds.,140,90,8.90E+12,4/15/2027,Omnigel,Moov Ointment,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGAvGaoziN5rB6WQ9aJOKC___ABOeMNQchUzWgY5UuaA&s=10,,,,,
